2025/06/05/19:34:32 [ Logger.py ]  27行 | [ DEBUG ] | [debug_log_test]
2025/06/05/19:34:32 [ Logger.py ]  28行 | [ INFO ] | [info_log_test]
2025/06/05/19:34:32 [ Logger.py ]  29行 | [ WARNING ] | [warning_log_test]
2025/06/05/19:34:32 [ Logger.py ]  30行 | [ ERROR ] | [error_log_test]
2025/06/05/19:34:32 [ Logger.py ]  31行 | [ CRITICAL ] | [critical_log_test]
2025/06/05/19:34:43 [ main.py ]  36行 | [ INFO ] | [使用GPU进行训练]
2025/06/05/19:34:44 [ main.py ]  131行 | [ WARNING ] | [数据未加载，请先调用load_data方法]
2025/06/05/19:35:26 [ main.py ]  119行 | [ INFO ] | [数据集统计:]
2025/06/05/19:35:26 [ main.py ]  120行 | [ INFO ] | [训练样本数: 30917]
2025/06/05/19:35:26 [ main.py ]  121行 | [ INFO ] | [验证样本数: 3864]
2025/06/05/19:35:26 [ main.py ]  137行 | [ INFO ] | [开始训练...]
